Animal,Fast,Tall,Heavy,Predator,Water_Habitat,Earth_Habitat,Climber,Swimmer,Strong,Social,Nocturnal,Lives_in_Packs,Territorial,Good_Eyesight,Sharp_Claws,Diet,Aggressive,Endangered,Jumps_High,Good_Hearing
Lion,0.85,0.35,0.6,1,-0.9,0.95,-0.4,0.1,0.92,0.8,0.5,0.85,0.95,0.88,0.9,Carnivore,0.75,0.2,0.4,0.85
Elephant,-0.7,1,1,-1,0.2,1,-0.95,0.6,1,0.95,-0.3,0.85,0.65,0.4,-1,Herbivore,0.55,0.75,-1,0.95
Bear,0.65,0.5,0.8,0.85,0.35,0.9,0.6,0.75,0.95,0.3,0.45,-0.3,0.85,0.5,0.9,Omnivore,0.7,0.2,-0.5,0.8
Monkey,0.75,-0.3,-0.4,-0.7,-0.6,1,0.95,0.2,0.7,0.9,0.2,0.85,0.6,0.75,-0.2,Omnivore,0.4,0.5,0.95,0.85
Gorilla,0.4,0.6,0.7,-0.9,-0.8,1,0.75,-0.3,1,0.95,-0.2,0.8,0.7,0.8,-0.5,Herbivore,0.5,0.85,0.6,0.8
Cheetah,1,0.4,0.5,1,-0.95,0.95,-0.3,0.15,0.85,0.7,0.6,0.4,0.9,0.85,0.85,Carnivore,0.8,0.1,0.8,0.9
Wolf,0.8,0.3,0.55,1,-0.85,0.95,-0.2,0.25,0.85,0.75,0.5,0.9,0.9,0.85,0.85,Carnivore,0.8,0.3,0.65,0.85
Kangaroo,0.7,0.8,0.6,-0.8,-0.9,1,-0.1,0.3,0.8,0.85,0.4,0.75,0.7,0.75,-0.6,Herbivore,0.4,0.5,1,0.8
Crocodile,0.5,0.7,0.9,1,0.9,0.4,-0.8,1,0.95,0.2,0.1,-0.2,0.85,0.9,0.85,Carnivore,0.85,0.3,-0.8,0.75
Eagle,0.95,-0.2,-0.5,1,-0.8,0.95,1,0.1,0.85,0.6,0.4,-0.5,0.9,0.95,0.85,Carnivore,0.7,0.3,-0.7,0.95
Dolphin,0.9,-0.5,-0.4,-0.6,1,-0.9,-0.8,1,0.85,0.85,-0.5,0.8,0.6,0.75,-0.95,Carnivore,0.3,0.2,-0.6,0.95
Snake,0.65,-0.5,-0.3,1,-0.1,0.95,-0.8,0.4,0.75,0.1,0.7,-0.2,0.85,0.85,0.85,Carnivore,0.85,0.4,-0.7,0.7
Giraffe,0.5,1,0.9,-0.9,-0.85,1,-0.1,0.35,0.85,0.7,-0.3,0.65,0.75,0.6,-0.95,Herbivore,0.3,0.4,-0.8,0.8
Penguin,0.3,-0.6,-0.1,-0.8,0.95,-0.4,-0.9,1,0.5,0.7,-0.4,0.6,0.5,0.75,-0.95,Carnivore,0.2,0.3,-0.9,0.75
Zebra,0.75,0.8,0.7,-0.9,-0.8,1,-0.1,0.3,0.85,0.7,-0.4,0.7,0.8,0.6,-0.95,Herbivore,0.4,0.3,0.6,0.75
Tiger,0.85,0.5,0.8,1,-0.85,0.95,-0.3,0.4,0.95,0.3,0.5,-0.85,0.9,0.85,0.9,Carnivore,0.85,0.3,0.6,0.9
Hippopotamus,0.4,0.9,1,0.7,0.95,0.6,-0.9,1,0.95,0.2,-0.5,-0.3,0.5,0.7,-0.85,Herbivore,0.8,0.2,-0.8,0.85
Fox,0.8,0.2,0.5,0.9,-0.8,0.95,-0.1,0.3,0.8,0.5,0.5,0.7,0.85,0.8,0.8,Carnivore,0.7,0.2,0.5,0.85
Deer,0.7,0.75,0.65,-0.85,-0.75,1,-0.2,0.3,0.75,0.8,-0.4,0.6,0.8,0.6,-0.9,Herbivore,0.3,0.4,0.8,0.75
Octopus,-0.5,-0.8,-0.3,0.7,1,-0.9,-0.6,1,0.5,0.2,-0.3,-0.5,0.8,-0.9,-0.95,Carnivore,0.3,0.4,-0.8,0.6
Platypus,0.3,-0.6,-0.4,-0.7,0.85,0.3,-0.5,1,0.4,0.5,-0.2,-0.4,0.7,-0.8,-0.85,Carnivore,0.2,0.3,-0.6,0.75
Komodo Dragon,0.4,0.5,0.8,1,-0.2,0.95,-0.3,0.6,0.9,0.2,-0.3,-0.4,0.85,0.9,0.85,Carnivore,0.85,0.4,-0.5,0.8
Armadillo,-0.3,-0.5,-0.4,-0.5,-0.8,1,-0.2,0.4,0.7,0.4,0.1,-0.4,0.75,0.7,0.5,Omnivore,0.4,0.2,-0.7,0.8
Ostrich,0.9,0.9,0.7,-0.8,-0.85,1,-0.1,0.1,0.8,0.5,-0.4,0.5,0.85,-0.2,-0.7,Herbivore,0.4,0.3,0.7,0.75
Sloth,-1,-0.5,-0.5,-0.9,-0.9,1,1,-0.8,0.3,0.6,0.1,-0.6,0.5,0.3,-0.9,Herbivore,0.1,0.4,-0.95,0.6
Narwhal,0.4,-0.7,0.9,-0.5,1,-0.95,-0.8,1,0.75,0.4,-0.6,-0.5,0.8,-0.9,-0.95,Carnivore,0.3,0.2,-0.8,0.7
Starfish,-1,-0.9,-0.6,-1,1,-1,-1,1,0.2,0.1,-1,-1,-0.5,-1,-1,Carnivore,-0.2,0.3,-1,-1
Axolotl,-0.6,-0.8,-0.5,-0.6,1,-0.95,-0.5,1,0.3,0.2,-0.8,-0.7,0.6,-0.9,-0.95,Carnivore,0.2,0.4,-0.85,0.5
Chameleon,0.1,-0.5,-0.4,-0.5,-0.7,1,1,-0.4,0.5,0.4,0.3,-0.3,0.85,0.8,-0.3,Omnivore,0.4,0.2,0.8,0.7
Tasmanian Devil,0.5,-0.4,-0.2,1,-0.9,0.95,-0.1,0.3,0.8,0.4,0.5,-0.4,0.7,0.7,0.85,Carnivore,0.9,0.6,-0.4,0.85
Aardvark,0.4,-0.2,-0.3,0.7,-0.7,1,-0.3,0.5,0.8,0.3,0.4,-0.4,0.85,0.6,0.75,Insectivore,0.5,0.3,-0.3,0.85
Manatee,-0.4,-0.5,0.9,-1,1,-0.8,-0.8,1,0.6,0.3,-0.7,-0.5,0.7,-0.9,-0.95,Herbivore,0.1,0.2,-0.8,0.5
Secretary Bird,0.85,0.7,-0.2,0.8,-0.9,1,0.9,-0.2,0.7,0.5,0.1,-0.4,0.9,0.75,0.6,Carnivore,0.4,0.3,0.9,0.85
Ocelot,0.85,0.3,0.4,1,-0.8,0.95,0.9,0.3,0.75,0.6,0.85,0.7,0.8,0.9,0.85,Carnivore,0.7,0.3,0.75,0.85
Tapir,0.4,0.7,0.8,-0.9,0.8,0.85,-0.8,0.75,0.65,0.4,-0.5,-0.6,0.55,0.5,-0.85,Herbivore,0.3,0.2,-0.6,0.7
Pangolin,0.5,-0.3,-0.1,0.9,-0.7,0.95,0.2,0.6,0.75,0.3,0.1,-0.4,0.7,0.8,0.7,Insectivore,0.5,0.4,0.2,0.75
Quokka,0.45,-0.5,-0.3,-0.8,-0.9,1,-0.1,0.4,0.65,0.9,0.2,0.5,0.55,0.7,-0.7,Herbivore,0.2,0.15,0.8,0.75
Axolotl,-0.4,-0.8,-0.7,-0.95,1,-0.9,-0.85,1,0.4,0.3,-0.6,-0.7,0.45,0.5,-0.95,Carnivore,-0.1,0.85,-0.9,0.6
Tarsier,0.6,-0.6,-0.6,-0.7,-0.8,1,0.95,0.1,0.5,0.85,0.15,0.5,0.85,0.7,0.6,Insectivore,0.3,0.6,0.95,0.9
Caracal,0.9,0.4,0.5,1,-0.85,0.95,0.7,0.35,0.85,0.5,0.55,0.6,0.85,0.9,0.85,Carnivore,0.8,0.2,0.85,0.9
Cassowary,0.7,0.9,0.75,0.6,-0.95,1,-0.2,0.15,0.85,0.4,-0.2,0.7,0.85,0.75,-0.5,Omnivore,0.85,0.5,0.7,0.8
Markhor,0.5,0.85,0.7,-0.8,-0.9,1,0.6,0.3,0.9,0.8,-0.4,0.65,0.75,0.6,-0.3,Herbivore,0.4,0.3,0.9,0.85
Narwhal,0.55,0.6,0.95,-0.7,1,-0.85,-0.9,1,0.8,0.5,-0.5,0.4,0.6,0.7,-0.95,Carnivore,0.5,0.3,-0.7,0.75
